How hot is it today?,weather
Is it hot outside?,weather
Will it be uncomfortably hot?,weather
Will it be sweltering?,weather
How cold is it today?,weather
Is it cold outside?,weather
Will it be uncomfortably cold?,weather
Will it be frigid?,weather
What is the expected high for today?,weather
What is the expected weather?,weather
Will high weathers be dangerous?,weather
Is it dangerously cold?,weather
When will the heat subside?,weather
Is it hot?,weather
Is it cold?,weather
How cold is it now?,weather
Will we have a cold day today?,weather
When will the cold subside?,weather
What highs are we expecting?,weather
What lows are we expecting?,weather
Is it warm?,weather
Is it chilly?,weather
What's the current temp in Celsius?,weather
What is the weather in Fahrenheit?,weather
Is it windy?,weather
Will it rain today?,weather
What are the chances for rain?,weather
Will we get snow?,weather
Are we expecting sunny weather?,weather
Is it overcast?,weather
Will it be cloudy?,weather
How much rain will fall today?,weather
How much snow are we expecting?,weather
Is it windy outside?,weather
How much snow do we expect?,weather
Is the forecast calling for snow today?,weather
Will we see some sun?,weather
When will the rain subside?,weather
Is it cloudy?,weather
Is it sunny now?,weather
Will it rain?,weather
Will we have much snow?,weather
Are the winds dangerous?,weather
What is the expected snowfall today?,weather
Will it be dry?,weather
Will it be breezy?,weather
Will it be humid?,weather
What is today's expected humidity?,weather
Will the blizzard hit us?,weather
Is it drizzling?,weather
